id,shortcut,description,program,device_gram,program_gram
23,Shift + F10,Display a Shortcut menu,Dynamics NAV 2015,windows,dynamics_nav_2015
24,Shift + F7,Open the Related card,Dynamics NAV 2015,windows,dynamics_nav_2015
25,Esc,Close the current window/ Undo the Data entry,Dynamics NAV 2015,windows,dynamics_nav_2015
26,Home,Moving to the First field on a line,Dynamics NAV 2015,windows,dynamics_nav_2015
27,Shift + F1,View Error message,Dynamics NAV 2015,windows,dynamics_nav_2015
28,Shift + F3,Select Show Results,Dynamics NAV 2015,windows,dynamics_nav_2015
29,F10 / Alt,Select the Menu bar and Display Access keys,Dynamics NAV 2015,windows,dynamics_nav_2015
30,Ctrl + F3,Select Search pages,Dynamics NAV 2015,windows,dynamics_nav_2015
31,Ctrl + F2,Create a New Document,Dynamics NAV 2015,windows,dynamics_nav_2015
32,Left-click,Left-click on a column header to sort a column ascending then left-click again to toggle between ascending and descending.,Dynamics NAV 2015,windows,dynamics_nav_2015
33,Shift + Tab,Move to the Previous field,Dynamics NAV 2015,windows,dynamics_nav_2015
34,Up Arrow,Move to the field above in the Column,Dynamics NAV 2015,windows,dynamics_nav_2015
35,F1,Open help,Dynamics NAV 2015,windows,dynamics_nav_2015
36,F3,Select type to filter,Dynamics NAV 2015,windows,dynamics_nav_2015
37,F4,Drop-down or Look up to Select,Dynamics NAV 2015,windows,dynamics_nav_2015
38,F2,Edit,Dynamics NAV 2015,windows,dynamics_nav_2015
39,Down Arrow,Move to the field below in the same Column,Dynamics NAV 2015,windows,dynamics_nav_2015
40,Ctrl + Insert,Insert new line,Dynamics NAV 2015,windows,dynamics_nav_2015
41,Alt + Tab,Toggle between open windows,Dynamics NAV 2015,windows,dynamics_nav_2015
42,Ctrl + Enter,Save and close window,Dynamics NAV 2015,windows,dynamics_nav_2015
43,Ctrl + Home,Move to the first line in a list,Dynamics NAV 2015,windows,dynamics_nav_2015
44,Ctrl + End,Move to the last line in a list,Dynamics NAV 2015,windows,dynamics_nav_2015
45,Ctrl + Alt + F1,Open the About this Page/Report window,Dynamics NAV 2015,windows,dynamics_nav_2015
46,Ctrl + Delete,Delete the selected line,Dynamics NAV 2015,windows,dynamics_nav_2015
47,Ctrl + Home,Move to the first line in a list,Dynamics NAV 2015,windows,dynamics_nav_2015
48,Ctrl + X,Cut,Dynamics NAV 2015,windows,dynamics_nav_2015
49,Ctrl + Up arrow,Move up while the selected line stays selected,Dynamics NAV 2015,windows,dynamics_nav_2015
50,Ctrl + Left arrow,Move to the first field on a line,Dynamics NAV 2015,windows,dynamics_nav_2015
51,Ctrl + L,Show links,Dynamics NAV 2015,windows,dynamics_nav_2015
52,Ctrl + Down arrow,Move down while the selected line stays selected,Dynamics NAV 2015,windows,dynamics_nav_2015
53,Ctrl + Z,Undo,Dynamics NAV 2015,windows,dynamics_nav_2015
54,Ctrl + W,Export to Microsoft Office Word,Dynamics NAV 2015,windows,dynamics_nav_2015
55,Ctrl + Page Up,Display previous Document or card in a list,Dynamics NAV 2015,windows,dynamics_nav_2015
56,Ctrl + N,Create a new record,Dynamics NAV 2015,windows,dynamics_nav_2015
57,Ctrl + P,Print,Dynamics NAV 2015,windows,dynamics_nav_2015
58,Ctrl + V,Paste,Dynamics NAV 2015,windows,dynamics_nav_2015
59,Ctrl + O,Open the company,Dynamics NAV 2015,windows,dynamics_nav_2015
60,Ctrl + C,Copy,Dynamics NAV 2015,windows,dynamics_nav_2015
61,Ctrl + G,Go to,Dynamics NAV 2015,windows,dynamics_nav_2015
62,Ctrl + F11,Reconcile or Split lines,Dynamics NAV 2015,windows,dynamics_nav_2015
63,Ctrl + T,Select sorting,Dynamics NAV 2015,windows,dynamics_nav_2015
64,Ctrl + Page Down,Display next Document or card in a list,Dynamics NAV 2015,windows,dynamics_nav_2015
65,Ctrl + F12,Select the address bar,Dynamics NAV 2015,windows,dynamics_nav_2015
66,Alt + F12,Optimize space for the current page,Dynamics NAV 2015,windows,dynamics_nav_2015
67,Alt + F6,Collapse or expand the active frame,Dynamics NAV 2015,windows,dynamics_nav_2015
68,Alt + F4,Close window or close program,Dynamics NAV 2015,windows,dynamics_nav_2015
69,Alt + F2,Toggle to display/hide FactBoxes,Dynamics NAV 2015,windows,dynamics_nav_2015
70,Ctrl + Shift + Enter,Save and close the window and open a new window,Dynamics NAV 2015,windows,dynamics_nav_2015
71,Ctrl + Shift + V,Paste rows,Dynamics NAV 2015,windows,dynamics_nav_2015
72,Ctrl + Shift + D,Show dimensions,Dynamics NAV 2015,windows,dynamics_nav_2015
73,Alt + Left Arrow,Go to the previous window in the navigation history,Dynamics NAV 2015,windows,dynamics_nav_2015
74,Alt + Enter,Move to the field below without opening the drop-down menu,Dynamics NAV 2015,windows,dynamics_nav_2015
75,Alt + Left Arrow,Go to the next window in the navigation history,Dynamics NAV 2015,windows,dynamics_nav_2015
76,Ctrl + E,Export to Microsoft Office Excel,Dynamics NAV 2015,windows,dynamics_nav_2015
77,Ctrl + End,Move to the last line in a list,Dynamics NAV 2015,windows,dynamics_nav_2015
78,Alt + F3,Filter to the value in the field,Dynamics NAV 2015,windows,dynamics_nav_2015
79,Alt,Display access keys in the ribbon,Dynamics NAV 2015,windows,dynamics_nav_2015
80,Ctrl + Right arrow,Move to the last field on a line,Dynamics NAV 2015,windows,dynamics_nav_2015
81,Ctrl + Shift + W,Open a list place in a separate window,Dynamics NAV 2015,windows,dynamics_nav_2015
82,Ctrl + Shift + E,Edit list,Dynamics NAV 2015,windows,dynamics_nav_2015
83,Ctrl + Shift + Q,Collapse/ expand a line in a hierarchy,Dynamics NAV 2015,windows,dynamics_nav_2015
84,Ctrl + Shift + R,View list,Dynamics NAV 2015,windows,dynamics_nav_2015
85,Ctrl + Shift + F3,Select Limit totals to table filter,Dynamics NAV 2015,windows,dynamics_nav_2015
86,Ctrl + Shift + C,Copy Rows,Dynamics NAV 2015,windows,dynamics_nav_2015
87,Ctrl + Shift + A,Clear all filters,Dynamics NAV 2015,windows,dynamics_nav_2015
88,Alt + E,Show Tag Manager,MusicBee,windows,musicbee
89,F11,Show Visualizer Full Screen,MusicBee,windows,musicbee
90,Alt + R,Rip CD,MusicBee,windows,musicbee
91,Ctrl + V,Paste Copied Tags,MusicBee,windows,musicbee
92,Ctrl + L,Auto Tag by Track Update Tags,MusicBee,windows,musicbee
93,Ctrl + T,Create New Tab,MusicBee,windows,musicbee
94,Ctrl + W,Close Tab,MusicBee,windows,musicbee
95,Alt + J,Show Now Playing Assistant,MusicBee,windows,musicbee
96,Alt + F,Show Now Playing Track Finder,MusicBee,windows,musicbee
97,F2,Amend Clicked Column,MusicBee,windows,musicbee
98,Ctrl + Alt + 1..5,1..5 Stars,MusicBee,windows,musicbee
99,Alt + NumPad -,0.5 Stars Down,MusicBee,windows,musicbee
100,Alt + 0..5,0..5 Stars,MusicBee,windows,musicbee
101,Alt + NumPad +,0.5 Stars Up,MusicBee,windows,musicbee
102,Ctrl + Alt + NumPad +,0.5 Star Up,MusicBee,windows,musicbee
103,Ctrl + Alt + NumPad -,0.5 Star Down,MusicBee,windows,musicbee
104,Ctrl + Shift + V,Analyse Volume,MusicBee,windows,musicbee
105,Shift + Delete,Hard Delete,MusicBee,windows,musicbee
106,Shift + Enter,Edit Tags,MusicBee,windows,musicbee
107,Ctrl + A,Select All,MusicBee,windows,musicbee
108,Ctrl + F,Custom Search,MusicBee,windows,musicbee
109,Insert,Rescan/Add Files,MusicBee,windows,musicbee
110,F5,Refresh,MusicBee,windows,musicbee
111,Ctrl + O,Configure MusicBee Preferences,MusicBee,windows,musicbee
112,Ctrl + C,Copy Tags and Artwork,MusicBee,windows,musicbee
113,Ctrl + Enter,Queue Last,MusicBee,windows,musicbee
114,Ctrl + Alt + V,Volume Mute On/Off,MusicBee,windows,musicbee
115,Delete,Remove,MusicBee,windows,musicbee
116,Ctrl + Alt + Down Arrow,Volume Down,MusicBee,windows,musicbee
117,Ctrl + Alt + Up Arrow,Volume Up,MusicBee,windows,musicbee
118,Alt + Enter,Play Now,MusicBee,windows,musicbee
119,Ctrl + Shift + Enter,Queue Next,MusicBee,windows,musicbee
120,Ctrl + S,Stop,MusicBee,windows,musicbee
121,MediaPlayPause,Play/Pause,MusicBee,windows,musicbee
122,Ctrl + D,Start/End Bookmark,MusicBee,windows,musicbee
123,Ctrl + P,Play/Pause,MusicBee,windows,musicbee
124,Ctrl + B,Previous Track,MusicBee,windows,musicbee
125,Ctrl + N,Play Next Track,MusicBee,windows,musicbee
126,MediaStop,Stop,MusicBee,windows,musicbee
127,MediaNextTrack,Next,MusicBee,windows,musicbee
128,MediaPreviousTrack,Previous,MusicBee,windows,musicbee
129,Ctrl + R,Auto-Organize Files,MusicBee,windows,musicbee
130,Ctrl + Shift + Tab,Go to Previous Tab,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
131,PgDn,Select Cell in Next Screen in Same Column,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
132,Tab,Move one cell to Right,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
133,PgUp,Select Cell in Previous Screen in Same Column,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
134,Enter,Moves One Cell down in Selected Cell Range,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
135,Shift + Enter,Moves One Cell Up in Selected Cell Range,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
136,Home,Moves to Cell in Upper Left Corner of Window,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
137,Ctrl + Home,Move to Beginning of Worksheet,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
138,Ctrl + PgUp,Switches between Worksheet from Left to Right,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
139,Ctrl + Tab,Go to Next Tab,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
140,F4,Repeats the last action of adding or deleting the Whole Row/Column,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
141,Ctrl + PgDn,Switches between Worksheet Tabs(Right to Left),Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
142,Arrow Keys,Movement in Cells,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
143,F12,Displays the Save As dialog box to save the file with a different name type or location,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
144,Ctrl + K,Displays the Hyperlink dialog box to insert new hyperlinks or edit existing hyperlinks,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
145,F11,Insert chart,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
146,Ctrl + Y,Repeats the last command or action if possible,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
147,Shift + Tab,Move one cell to Left,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
148,F1,Help,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
149,Ctrl + Shift + ;,Enters the current time,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
150,Ctrl + Shift + ',Enters the current time,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
151,F2,Edits the active cell and positions the insertion point at the end of the cell contents,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
152,Ctrl + I,Applies or removes italic formatting,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
153,Ctrl + End,Moves to the last cell on a worksheet in the lowest used row of the rightmost used column,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
154,Ctrl + D,Uses the Fill Down command to copy the contents and format of the topmost cell of a selected range into the cells below,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
155,Ctrl + C,Copies the selected cells,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
156,Ctrl + ;,Enters the current date,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
157,Ctrl + O,Display Open Dialog Box,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
158,Ctrl + F,Go to Find Dialog Box,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
159,Ctrl + Z,Undo,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
160,Ctrl + V,Paste,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
161,Ctrl + X,Cuts the selected cells,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
162,Ctrl + W,Closes the selected workbook window,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
163,Ctrl + U,Applies or removes underlining,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
164,Ctrl + S,Saves the active file with its current file name location and file format,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
165,Ctrl + 1,Display Format Cells Dialog Box,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
166,Alt + F11,Display MS Visual Basic Editor,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
167,Ctrl + N,Create New workbook,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
168,Ctrl + Enter,Fills the selected cell range with the current entry,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
169,Ctrl + B,Applies or removes bold formatting,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
170,Alt + Enter,Starts New Line in Same Cell,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
171,Ctrl + ',Enters the current time,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
172,Backspace,Clears the content of the active cell to reedit cell content,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
173,Ctrl + F1,Display Task Pane on Right Side of Program Window,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
174,Ctrl + P,Display Print Dialog Box,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
175,Shift + F10,Display Context Menu of Selected Item,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
176,Ctrl + Shift + =,Display Insert Dialog Box,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
177,Ctrl + G,Display Go to Dialog Box,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
178,Ctrl + H,Display Replace Dialog Box,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
179,"Ctrl + Arrow
 Keys",Select All Worksheet,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
180,F7,Display Spelling Check Dialog Box,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
181,Alt + Space,Display Control Menu from Program Window,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
182,Alt + F8,Display Macros Dialog Box to RunEdit or Delete Macros,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
183,Shift + PgDn,Select Cell Range from Current Cells to Next Screen of Same Column,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
184,Shift + PgUp,Select Cell Range from Current Cells to Previous Screen of Same Column,Kingsoft Spreadsheets 2016,windows,kingsoft_spreadsheets_2016
185,Command + Option,Keep Current Selection,Sketch 3,macos,sketch_3
186,Command + Ctrl + F,Enter Fullscreen,Sketch 3,macos,sketch_3
187,Command + Option + T,Toggle Toolbar,Sketch 3,macos,sketch_3
188,Command + .,Presentation Mode,Sketch 3,macos,sketch_3
189,U,Rounded Rectangle,Sketch 3,macos,sketch_3
190,V,Vector Point,Sketch 3,macos,sketch_3
191,Command + Option + 3,Toggle Layers.Inspector,Sketch 3,macos,sketch_3
192,Command + Option + 2,Toggle Inspector,Sketch 3,macos,sketch_3
193,Command + ~,Toggle between Documents,Sketch 3,macos,sketch_3
194,Command + Option + 1,Toggle Layers List,Sketch 3,macos,sketch_3
195,Command + I,Italic,Sketch 3,macos,sketch_3
196,S,Slice,Sketch 3,macos,sketch_3
197,T,Text,Sketch 3,macos,sketch_3
198,Spacebar + Drag,More canvas,Sketch 3,macos,sketch_3
199,Ctrl + X,Toggle Pixel Grid,Sketch 3,macos,sketch_3
200,Ctrl + L,Toggle Layer Guides,Sketch 3,macos,sketch_3
201,Ctrl + H,Toggle Selection Handling,Sketch 3,macos,sketch_3
202,P,Pencil,Sketch 3,macos,sketch_3
203,Ctrl + P,Toggle Pixels,Sketch 3,macos,sketch_3
204,Ctrl + G,Toggle Grids,Sketch 3,macos,sketch_3
205,R,Rectangle,Sketch 3,macos,sketch_3
206,Ctrl + R,Toggle Rulers,Sketch 3,macos,sketch_3
207,Option + Tab,Focus oon first input field,Sketch 3,macos,sketch_3
208,Command + B,Bold,Sketch 3,macos,sketch_3
209,L,Line,Sketch 3,macos,sketch_3
210,Command + 2,Zoom Selection,Sketch 3,macos,sketch_3
211,O,Oval,Sketch 3,macos,sketch_3
212,Command + 3,Center Selection,Sketch 3,macos,sketch_3
213,Command + 0,Actual Size,Sketch 3,macos,sketch_3
214,Command + 1,Center Canvas,Sketch 3,macos,sketch_3
215,A,New Artboard,Sketch 3,macos,sketch_3
216,Command + Ctrl + Spacebar,Special Character,Sketch 3,macos,sketch_3
217,Command + + / Command + -,Zoom in/Zoom out,Sketch 3,macos,sketch_3
218,Command + Shift + |,Align Center,Sketch 3,macos,sketch_3
219,Command + Shift + },Align Right,Sketch 3,macos,sketch_3
220,Command + Shift + O,Convert text to outlines,Sketch 3,macos,sketch_3
221,Command + Shift + {,Align Left,Sketch 3,macos,sketch_3
222,Ctrl + Option + L,Increase Character Spacing,Sketch 3,macos,sketch_3
223,Ctrl + Option + T,Decrease Character Spacing,Sketch 3,macos,sketch_3
224,Command + Option + +,Increase font size,Sketch 3,macos,sketch_3
225,Command + Option + -,Decrease font size,Sketch 3,macos,sketch_3
226,Command + Option + X,Difference,Sketch 3,macos,sketch_3
227,Command + Arrow Keys,Change Object Size,Sketch 3,macos,sketch_3
228,Command + U,Underline,Sketch 3,macos,sketch_3
229,Command + T,Change Font,Sketch 3,macos,sketch_3
230,Command + Option + I,Intersect,Sketch 3,macos,sketch_3
231,Command + Option + S,Subtract,Sketch 3,macos,sketch_3
232,Command + Ctrl + M,Use as Mask Span,Sketch 3,macos,sketch_3
233,Command + Option + U,Union,Sketch 3,macos,sketch_3
234,Command + F,Find Layer By Name,Sketch 3,macos,sketch_3
235,Esc,Select Parent Artboard,Sketch 3,macos,sketch_3
236,Shift + Tab,Select Above Layer,Sketch 3,macos,sketch_3
237,Command + G,Group Layers,Sketch 3,macos,sketch_3
238,Command + Option + G,Ungroup Layers,Sketch 3,macos,sketch_3
239,Command + R,Rename,Sketch 3,macos,sketch_3
240,Command + Option + L,Lock,Sketch 3,macos,sketch_3
241,Command + Option + Ctrl + Down Arrow,Sent to Back,Sketch 3,macos,sketch_3
242,Command + Option + H,Hide,Sketch 3,macos,sketch_3
243,Command + Option + Ctrl + Up Arrow,Bring to Front,Sketch 3,macos,sketch_3
244,Command + Option + Down Arrow,Send Backward,Sketch 3,macos,sketch_3
245,B,Toggle Border,Sketch 3,macos,sketch_3
246,Command + Option + Up Arrow,Bring Forward,Sketch 3,macos,sketch_3
247,F,Toggle Fill,Sketch 3,macos,sketch_3
248,Fn + Down Arrow,Select Page Below,Sketch 3,macos,sketch_3
249,Tab,Select Layer Below,Sketch 3,macos,sketch_3
250,Command + Option + R,Rotate,Sketch 3,macos,sketch_3
251,Ctrl + C,Color Picker,Sketch 3,macos,sketch_3
252,Command + T,Transform,Sketch 3,macos,sketch_3
253,Command + Option + V,Paste Style,Sketch 3,macos,sketch_3
254,Command + Option + C,Copy Style,Sketch 3,macos,sketch_3
255,Option,Show Distance to Other Layers,Sketch 3,macos,sketch_3
256,Command + D,Duplicate,Sketch 3,macos,sketch_3
257,1..4,Change Vector Point Style,Sketch 3,macos,sketch_3
258,Fn + Up Arrow,Select Page Above,Sketch 3,macos,sketch_3
259,Command + Shift + Arrow Keys,Change Units by 10,Sketch 3,macos,sketch_3
260,Command + Option + F,Find and Replace,OpenSCAD,macos,openscad
261,Command + G,Find Next,OpenSCAD,macos,openscad
262,Ctrl + K,Delete to end of line,OpenSCAD,macos,openscad
263,Ctrl + F,Navigate Char right,OpenSCAD,macos,openscad
264,Command + R,Reload,OpenSCAD,macos,openscad
265,Command + Shift + D,UnComment,OpenSCAD,macos,openscad
266,Command + D,Comment,OpenSCAD,macos,openscad
267,Left Arrow + Fn,Home key,OpenSCAD,macos,openscad
268,Command + 0,Diagonal View,OpenSCAD,macos,openscad
269,Command + 9,Back View,OpenSCAD,macos,openscad
270,Command + 8,Front View,OpenSCAD,macos,openscad
271,Ctrl + V,Navigate Page down,OpenSCAD,macos,openscad
272,Command + 7,Right View,OpenSCAD,macos,openscad
273,Command + 5,Bottom View,OpenSCAD,macos,openscad
274,Ctrl + P,Navigate Line Up,OpenSCAD,macos,openscad
275,Ctrl + H,Delete previous char,OpenSCAD,macos,openscad
276,Command + 2,Show Axis,OpenSCAD,macos,openscad
277,Command + 1,Show Edges,OpenSCAD,macos,openscad
278,Ctrl + E,Navigate End of line,OpenSCAD,macos,openscad
279,Ctrl + A,Navigate Start of line,OpenSCAD,macos,openscad
280,Backspace + Fn,Delete key,OpenSCAD,macos,openscad
281,F12,Thrown Together,OpenSCAD,macos,openscad
282,Command + 6,Left View,OpenSCAD,macos,openscad
283,Command + Shift + S,Save As,OpenSCAD,macos,openscad
284,F10,Surfaces,OpenSCAD,macos,openscad
285,Command + Shift + Z,Redo,OpenSCAD,macos,openscad
286,Command + + / Command + -,Zoom in/out,OpenSCAD,macos,openscad
287,Command + Shift + G,Find Previous,OpenSCAD,macos,openscad
288,F5,Preview,OpenSCAD,macos,openscad
289,F4,Reoad and Preview,OpenSCAD,macos,openscad
290,Command + W,Close,OpenSCAD,macos,openscad
291,F2,Save,OpenSCAD,macos,openscad
292,Command + T,Paste Viewport Translation,OpenSCAD,macos,openscad
293,Command + Q,Quit,OpenSCAD,macos,openscad
294,Command + S,Save,OpenSCAD,macos,openscad
295,Command + V,Paste,OpenSCAD,macos,openscad
296,Up Arrow + Fn,Page Up key,OpenSCAD,macos,openscad
297,Command + N,New,OpenSCAD,macos,openscad
298,Command + I,Indent,OpenSCAD,macos,openscad
299,Command + Z,Undo,OpenSCAD,macos,openscad
300,F9,Preview,OpenSCAD,macos,openscad
301,Command + C,Copy,OpenSCAD,macos,openscad
302,F3,Reload,OpenSCAD,macos,openscad
303,Command + Shift + V,View All,OpenSCAD,macos,openscad
304,F6,Render,OpenSCAD,macos,openscad
305,Command + F,Find,OpenSCAD,macos,openscad
306,Down Arrow + Fn,Page Down key,OpenSCAD,macos,openscad
307,Ctrl + L,Scroll to center view on current line,OpenSCAD,macos,openscad
308,Command + O,Open,OpenSCAD,macos,openscad
309,Command + Shift + I,Unindent,OpenSCAD,macos,openscad
310,Right Arrow + Fn,End key,OpenSCAD,macos,openscad
311,Ctrl + B,Navigate Char left,OpenSCAD,macos,openscad
312,Ctrl + N,Navigate Line Down,OpenSCAD,macos,openscad
313,F11,Wireframe,OpenSCAD,macos,openscad
314,Ctrl + D,Delete next char,OpenSCAD,macos,openscad
315,Command + 4,Top View,OpenSCAD,macos,openscad
316,Command + 3,Show Crosshairs,OpenSCAD,macos,openscad
317,Command + X,Cut,OpenSCAD,macos,openscad
318,Command + J,Scroll to find selection,Apple Numbers,macos,apple_numbers
319,Command + ;,Spelling check,Apple Numbers,macos,apple_numbers
320,Command + F,Find,Apple Numbers,macos,apple_numbers
321,Command + Shift + G,Find previous,Apple Numbers,macos,apple_numbers
322,Command + E,Use selection for find,Apple Numbers,macos,apple_numbers
323,Command + D,Duplicate objects,Apple Numbers,macos,apple_numbers
324,Command + L,Lock objects,Apple Numbers,macos,apple_numbers
325,Option + Command + L,Unlock objects,Apple Numbers,macos,apple_numbers
326,Command + G,Find next,Apple Numbers,macos,apple_numbers
327,Option + Command + G,Group objects,Apple Numbers,macos,apple_numbers
328,Object + Shift + Command + G,Ungroup objects,Apple Numbers,macos,apple_numbers
329,Command + Click,Select additional objects,Apple Numbers,macos,apple_numbers
330,Shift + Click,Deselect additional objects,Apple Numbers,macos,apple_numbers
331,Command + >,Zoom in,Apple Numbers,macos,apple_numbers
332,Command + :,Spelling window,Apple Numbers,macos,apple_numbers
333,Command + P,Print selected spreadsheet,Apple Numbers,macos,apple_numbers
334,Select one object  and  Command + Shift + A,Deselect all object,Apple Numbers,macos,apple_numbers
335,Arrow Keys,Move object one point,Apple Numbers,macos,apple_numbers
336,Command + Shift + S,Save as,Apple Numbers,macos,apple_numbers
337,Select one object  and  Command + A,Select all object,Apple Numbers,macos,apple_numbers
338,Shift + Arrow Keys,Move Object ten points,Apple Numbers,macos,apple_numbers
339,Command + S,Save spreadsheet,Apple Numbers,macos,apple_numbers
340,Command + O,Open existing spreadsheet,Apple Numbers,macos,apple_numbers
341,Option + Click Charts,Draw Charts,Apple Numbers,macos,apple_numbers
342,Option + Click Shapes,Draw Shapes,Apple Numbers,macos,apple_numbers
343,Shift + Command + Down Arrow / Shift + End,Extend selection to end of text,Apple Numbers,macos,apple_numbers
344,Shift + Command + Up Arrow / Shift + Home,Extend selection to beginning of text,Apple Numbers,macos,apple_numbers
345,Command + N,New spreadsheet,Apple Numbers,macos,apple_numbers
346,Command + Shift + N,Open template chooser,Apple Numbers,macos,apple_numbers
347,Shift + Down Arrow,Extend selection to the line below,Apple Numbers,macos,apple_numbers
